,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
10,6636,Polkadot,DOT,polkadot-new,369,2020-08-19T00:00:00.000Z,"['substrate', 'polkadot', 'binance-chain', 'polkadot-ecosystem', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'arrington-xrp-capital-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'coinfund-portfolio', 'fabric-ventures-portfolio', 'fenbushi-capital-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', '1confirmation-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'exnetwork-capital-portfolio', 'web3', 'spartan-group', 'injective-ecosystem', 'bnb-chain']",,987579314.957085,1103303471.382273,,11,904869778.0,7612095330.143767,,2022-07-30T20:53:00.000Z,8.412365530616459,813765386.5812243,-2.554,-0.60913094,1.94754718,15.94652391,25.5109794,-18.50187537,-44.01860227,8307878187.894797,0.7522,9281392092.47,,2022-07-30T20:53:00.000Z,,,,,,2022-07-30 20:55:51.353079
11,3890,Polygon,MATIC,polygon,432,2019-04-28T00:00:00.000Z,"['platform', 'enterprise-solutions', 'scaling', 'state-channel', 'coinbase-ventures-portfolio', 'binance-launchpad', 'binance-labs-portfolio', 'polygon-ecosystem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain']",10000000000.0,8034803942.62,10000000000.0,,12,,,,2022-07-30T20:53:00.000Z,0.942631563159463,930770813.0589325,-40.7196,-0.84028603,-0.30824707,12.63685565,113.13954275,42.80888165,-11.86985209,7573859800.111707,0.6858,9426315631.59,,2022-07-30T20:53:00.000Z,,,,,,2022-07-30 20:55:51.353079
12,4943,Dai,DAI,multi-collateral-dai,1050,2019-11-22T00:00:00.000Z,"['defi', 'stablecoin', 'ethereum-ecosystem', 'avalanche-ecosystem', 'polygon-ecosystem', 'fantom-ecosystem', 'arbitrum-ecosytem', 'harmony-ecosystem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin']",,7469392220.548443,7469392220.548443,,13,,,,2022-07-30T20:53:00.000Z,0.9996009743716725,442474497.2869348,-37.5816,0.05801989,-0.06674448,-0.02278562,-0.01737479,-0.02897107,0.00273132,7466411741.624414,0.6749,7466411741.62,,2022-07-30T20:53:00.000Z,1027.0,Ethereum,ETH,ethereum,0x6b175474e89094c44da98b954eedeac495271d0f,2022-07-30 20:55:51.353079
13,5805,Avalanche,AVAX,avalanche,290,2020-07-13T00:00:00.000Z,"['defi', 'smart-contracts', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'avalanche-ecosystem', 'cms-holdings-portfolio', 'dragonfly-capital-portfolio', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain']",720000000.0,284322836.16267467,404229626.49901325,,14,,,,2022-07-30T20:53:00.000Z,24.69491782116114,766815499.8500698,-16.0945,-0.71794436,0.70961542,6.47177369,53.91320767,-6.09736266,-57.37496978,7021329073.716714,0.6357,17780340831.24,,2022-07-30T20:53:00.000Z,,,,,,2022-07-30 20:55:51.353079
14,5994,Shiba Inu,SHIB,shiba-inu,379,2020-08-01T00:00:00.000Z,"['memes', 'ethereum-ecosystem', 'doggone-doggerel']",,549063278876301.94,589735030408322.8,,15,,,,2022-07-30T20:53:00.000Z,1.2104142439020002e-05,661100865.8444816,10.5045,-0.52815651,2.60986366,5.31905704,21.84921989,3.31219422,-42.42621408,6645940135.554121,0.6017,7138236809.34,,2022-07-30T20:53:00.000Z,1027.0,Ethereum,ETH,ethereum,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,2022-07-30 20:55:51.353079
0,1,Bitcoin,BTC,bitcoin,9648,2013-04-28T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio']",21000000.0,19107862.0,19107862.0,,1,,,,2022-07-30T20:54:00.000Z,23974.34720609058,28339742823.61435,-22.1738,-0.25196561,0.2218486,7.45253599,27.90529044,-24.42111026,-36.83115212,458098517954.0644,41.4555,503461291327.9,,2022-07-30T20:54:00.000Z,,,,,,2022-07-30 20:56:51.790788
1,1027,Ethereum,ETH,ethereum,5869,2015-08-07T00:00:00.000Z,"['mineable', 'pow', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'injective-ecosystem', 'bnb-chain']",,121762185.999,121762185.999,,2,,,,2022-07-30T20:53:00.000Z,1701.0126434848426,16140208009.672531,-30.5215,0.25988915,-1.68738208,11.74730318,68.06127343,-12.52493098,-38.66675246,207119017882.65207,18.7526,207119017882.65,,2022-07-30T20:53:00.000Z,,,,,,2022-07-30 20:56:51.790788
2,825,Tether,USDT,tether,36785,2015-02-25T00:00:00.000Z,"['payments', 'stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin']",,66056977707.861404,68158976391.28773,,3,,,,2022-07-30T20:53:00.000Z,1.0002841767160329,58001937939.00852,-19.3114,-0.00015364,0.00212914,0.02590415,0.14519536,0.09795877,0.01036016,66075749562.85748,5.9795,68178345585.37,,2022-07-30T20:53:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2022-07-30 20:56:51.790788
3,3408,USD Coin,USDC,usd-coin,4987,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'fantom-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin']",,54457718596.76835,54457718596.76835,,4,,,,2022-07-30T20:53:00.000Z,0.9997122401044719,6513409992.425429,-25.0832,-0.03372598,-0.04458674,-0.04372515,-0.04607926,-0.06886153,-0.04342257,54442047849.35425,4.9292,54442047849.35,,2022-07-30T20:53:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2022-07-30 20:56:51.790788
4,1839,BNB,BNB,bnb,1041,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'moonriver-ecosystem', 'bnb-chain']",200000000.0,161337261.09,161337261.09,,5,,,,2022-07-30T20:53:00.000Z,290.0906863841075,1574797059.0894501,-35.4813,-0.8497488,-2.08603378,13.30832298,37.75975181,-9.26624159,-24.65428384,46802436808.93007,4.2375,58018137276.82,,2022-07-30T20:53:00.000Z,,,,,,2022-07-30 20:56:51.790788
